Date,Location,MinTemp,MaxTemp,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008/2/1,Sydney,19.5,22.4,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,Yes,Yes
2008/2/2,Sydney,19.5,25.6,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,Yes,Yes
2008/2/3,Sydney,21.6,24.5,17,2,88,86,1016.7,1015.6,7,8,23.5,23,Yes,Yes
2008/2/4,Sydney,20.2,22.8,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,Yes,Yes
2008/2/5,Sydney,19.7,25.7,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,Yes,Yes
2008/2/6,Sydney,20.2,27.2,9,22,69,62,1002.7,998.6,6,6,23.8,26,Yes,Yes
2008/2/7,Sydney,18.6,26.3,15,15,75,80,999,1000.3,4,7,21.7,22.3,Yes,Yes
2008/2/8,Sydney,17.2,22.3,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,Yes,Yes
2008/2/9,Sydney,16.4,20.8,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,Yes,Yes
2008/2/10,Sydney,14.6,24.2,11,20,80,53,1014,1013.4,4,2,17.2,23.3,Yes,No
2008/2/11,Sydney,16.4,23.9,9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,No,No
2008/2/12,Sydney,18.9,27.3,7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,No,Yes
2008/2/13,Sydney,18.4,22.8,24,30,87,70,1009.2,1011.7,8,7,20.9,21,Yes,Yes
2008/2/14,Sydney,16.9,24.3,15,19,81,51,1017.2,1016.5,7,1,18.4,23.3,Yes,No
2008/2/15,Sydney,18.3,24.4,19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,No,No
2008/2/16,Sydney,16.7,24.1,11,26,77,52,1023,1022.6,7,6,19.8,23.3,No,No
2008/2/17,Sydney,19.5,24.8,13,24,63,62,1024.7,1023.1,7,7,21.8,23.4,No,No
2008/2/18,Sydney,18.6,25.3,13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,No,No
2008/2/19,Sydney,19,24.8,7,17,79,65,1018,1015.4,7,7,20.8,23.4,No,No
2008/2/20,Sydney,18.3,26.4,13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,No,No
2008/2/21,Sydney,20.6,26.8,4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,No,No
2008/2/22,Sydney,19.1,25.4,11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,No,No
2008/2/23,Sydney,20.5,26,20,24,38,45,1007.4,1007,1,1,22.5,24,No,No
2008/2/24,Sydney,16.5,28.3,11,24,48,40,1007.9,1008,0,0,21.2,26.1,No,No
2008/2/25,Sydney,20.5,24.2,15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,No,No
2008/2/26,Sydney,19.3,26.2,2,28,73,65,1018.3,1015.6,1,6,23,25.8,No,Yes
2008/2/27,Sydney,19,29,0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,Yes,Yes
2008/2/28,Sydney,17.9,21.4,20,9,77,88,1010,1010.1,8,8,20.4,19.2,Yes,Yes
2008/2/29,Sydney,14.7,20.6,24,28,65,51,1015.3,1015.6,5,3,17.1,19.9,Yes,No
2008/3/1,Sydney,12.8,22,19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,No,Yes
2008/3/2,Sydney,14.2,23.4,13,17,93,54,1026.2,1025.2,7,2,15.1,22.4,Yes,No
2008/3/3,Sydney,15,23.1,15,19,78,57,1025.8,1022.5,1,1,18.2,22.5,No,No
2008/3/4,Sydney,15.5,25.4,9,19,77,57,1020.5,1018.6,0,2,18.7,23.8,No,No
2008/3/5,Sydney,18.7,25.8,19,22,72,64,1024.8,1024.2,6,3,22.6,24.1,No,No
2008/3/6,Sydney,19.6,26,11,19,67,65,1024.2,1019.8,1,1,22.1,24.7,No,No
2008/3/7,Sydney,19.9,24.9,13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,No,Yes
2008/3/8,Sydney,16.5,24.8,9,22,88,71,1023.4,1022.3,1,2,18.8,21.5,Yes,No
2008/3/9,Sydney,16.4,24.3,9,19,82,64,1025.5,1025.2,1,2,19.7,23.8,No,No
2008/3/10,Sydney,19.3,26.3,9,24,76,50,1025.1,1022.5,1,0,22.9,25.5,No,No
2008/3/11,Sydney,18.6,26.1,2,20,72,58,1022,1021.4,0,0,21.9,26,No,No
2008/3/12,Sydney,19.3,26.4,7,22,77,60,1021.9,1018.8,1,1,22.2,25,No,No
2008/3/13,Sydney,19.2,26.1,6,20,84,69,1019.7,1019,1,4,22.4,25.3,No,No
2008/3/14,Sydney,18.8,26,9,24,84,62,1022.8,1020,3,1,21.8,25.7,No,No
2008/3/15,Sydney,19.3,26.1,2,20,80,64,1022.1,1020.9,1,1,22.5,25.6,No,No
2008/3/16,Sydney,19.7,25.8,7,24,81,69,1024.6,1022.6,2,2,22.8,24.7,No,No
2008/3/17,Sydney,19.5,25.7,4,NA,82,60,1024.8,1022.8,4,1,22,25.4,No,No
2008/3/18,Sydney,19,26.7,11,20,73,58,1023.3,1020,0,2,22.2,25.6,No,No
2008/3/19,Sydney,19.9,26.9,7,13,70,60,1021.2,1019.4,5,7,23.9,24.9,No,No
2008/3/20,Sydney,19.7,28.1,6,17,70,58,1014.3,1009.6,2,2,23.5,27.6,No,No
2008/3/21,Sydney,17.7,19.6,26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,No,Yes
2008/3/22,Sydney,16.9,23.2,24,30,81,60,1022.8,1022.2,7,7,19.6,21.7,Yes,No
2008/3/23,Sydney,16.3,24.8,9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,No,Yes
2008/3/24,Sydney,18.5,24.3,7,26,95,72,1018.7,1015.3,6,2,19.9,23.3,Yes,No
2008/3/25,Sydney,19.8,27.5,4,17,81,58,1011.1,1006.9,5,7,21.4,27,No,Yes
2008/3/26,Sydney,17,27.2,0,6,76,38,1008.9,1007.9,1,5,20.5,27.1,Yes,No
2008/3/27,Sydney,15,23.6,20,19,52,42,1014.7,1013.4,1,1,17.5,21.8,No,No
2008/3/28,Sydney,15.2,21.7,13,17,71,51,1017.1,1016.2,4,3,18.3,21.2,No,No
2008/3/29,Sydney,14.4,22.9,15,15,85,65,1015.4,1011.2,3,2,16.7,21.7,No,No
2008/3/30,Sydney,13.1,26.8,22,15,61,22,1013,1009,0,1,16.9,25.9,No,No
2008/3/31,Sydney,13.5,25.6,9,17,57,31,1015,1012.5,4,1,16.3,24.9,No,No
2008/4/1,Sydney,13.7,23.9,20,15,55,54,1023,1021.5,1,1,16.7,23.3,No,No
2008/4/2,Sydney,14.1,28.7,6,22,75,34,1019,1012.4,1,7,17.8,28,No,No
2008/4/3,Sydney,16.4,22.2,26,20,42,21,1009.9,1010.8,6,1,16.6,21.2,No,No
2008/4/4,Sydney,11.2,22.2,24,15,47,37,1020.8,1019.2,1,0,13.9,21,No,No
2008/4/5,Sydney,11.6,22.7,13,17,71,50,1024.5,1023.4,0,1,15.2,21,No,No
2008/4/6,Sydney,13.1,22.7,13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,No,Yes
